Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
3 Idiots,2009,PG-13,25 Dec 2009,170 min,"Comedy, Drama",Rajkumar Hirani,"Abhijat Joshi, Rajkumar Hirani, Vidhu Vinod Chopra","Aamir Khan, Madhavan, Mona Singh","Farhan Qureshi and Raju Rastogi want to re-unite with their fellow collegian, Rancho, after faking a stroke aboard an Air India plane, and excusing himself from his wife - trouser less - respectively. Enroute, they encounter another student, Chatur Ramalingam, now a successful businessman, who reminds them of a bet they had undertaken 10 years ago. The trio, while recollecting hilarious antics, including their run-ins with the Dean of Delhi's Imperial College of Engineering, Viru Sahastrabudhe, race to locate Rancho, at his last known address - little knowing the secret that was kept from them all this time.","Hindi, English",India,65 wins & 30 nominations,https://m.media-amazon.com/images/M/MV5BNTkyOGVjMGEtNmQzZi00NzFlLTlhOWQtODYyMDc2ZGJmYzFhXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,8.4,"434,507",tt1187043,movie,29 Nov 2016,"$6,532,874",N/A,N/A,True
Satyaprem Ki Katha,2023,N/A,29 Jun 2023,146 min,"Comedy, Drama, Musical",Sameer Vidwans,Karan Shrikant Sharma,"Kartik Aaryan, Kiara Advani, Supriya Pathak","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BNTJiM2U3NTctNTAwNi00ZmQ5LThmNDUtYjI4MDdhYzQ5ZmExXkEyXkFqcGdeQXVyMTU0ODI1NTA2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"29,380",tt14914988,movie,N/A,N/A,N/A,N/A,True
Lion,2016,PG-13,06 Jan 2017,118 min,"Biography, Drama",Garth Davis,"Saroo Brierley, Luke Davies","Dev Patel, Nicole Kidman, Rooney Mara","In 1986, Saroo was a five-year-old child in India of a poor but happy rural family. On a trip with his brother, Saroo soon finds himself alone and trapped in a moving decommissioned passenger train that takes him to Calcutta, 1000 miles away from home. Now totally lost in an alien urban environment and too young to identify either himself or his home to the authorities, Saroo struggles to survive as a street child until he is sent to an orphanage. Soon, Saroo is selected to be adopted by the Brierley family in Tasmania, where he grows up in a loving, prosperous home. However, for all his material good fortune, Saroo finds himself plagued by his memories of his lost family in his adulthood and tries to search for them even as his guilt drives him to hide this quest from his adoptive parents and his girlfriend. Only when he has an epiphany does he realize not only the answers he needs, but also the steadfast love that he has always had with all his loved ones in both worlds.","English, Hindi, Bengali","India, United Kingdom, Australia, United States",Nominated for 6 Oscars. 59 wins & 110 nominations total,https://m.media-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",69,8.0,"251,128",tt3741834,movie,01 Apr 2017,"$51,738,905",N/A,N/A,True
Bholaa Shankar,2023,N/A,11 Aug 2023,159 min,"Action, Crime, Drama",Meher Ramesh,"Adi Narayana, Siva, Mamidala Thirupathi","Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh","While attempting to build a life in Kolkata with his sister, a taxi driver must confront his dark past as he faces off against the city's underworld.","Telugu, Tamil, Kannada, Hindi, Malayalam",India,N/A,https://m.media-amazon.com/images/M/MV5BYzNjMGYzMmEtYTkzYS00MGE3LThkMTEtYTM2MjM0ZTdjZmYxXkEyXkFqcGdeQXVyMTcyNDY1NDgw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.3/10'}]",N/A,3.3,"2,031",tt13131610,movie,N/A,N/A,N/A,N/A,True
Haddi,2023,N/A,07 Sep 2023,134 min,"Crime, Drama",Akshat Ajay Sharma,"Adamya Bhalla, Akshat Ajay Sharma","Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Hindi,India,1 win,https://m.media-amazon.com/images/M/MV5BOGQyMDZkYjYtY2Y0MS00ZjE1LWI3YmItZTY1N2FkNjZmNWNjXkEyXkFqcGdeQXVyMTIyNzY0NTMx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"4,699",tt22188452,movie,N/A,N/A,N/A,N/A,True
Friday Night Plan,2023,TV-14,01 Sep 2023,108 min,"Comedy, Drama",Vatsal Neelakantan,"Vatsal Neelakantan, Sapan Verma","Babil Khan, Amrith Jayan, Medha Rana","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BN2FlMzA3MjktNjA2Zi00YzUyLWIxYTUtNGQ0MTc0NDA3NTcwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",N/A,6.5,"1,865",tt28568397,movie,N/A,N/A,N/A,N/A,True
Neeyat,2023,N/A,07 Jul 2023,134 min,"Crime, Mystery, Thriller",Anu Menon,"Girvani Dhyani, Advaita Kala, Anu Menon","Vidya Balan, Ram Kapoor, Rahul Bose","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Hindi,India,N/A,https://m.media-amazon.com/images/M/MV5BZDMwYzM5NWItNDU1ZS00MDljLWIxZmQtNDI5MzBlZDJlODBlXkEyXkFqcGdeQXVyNTM1MzM4Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"4,365",tt21908676,movie,N/A,N/A,N/A,N/A,True
Gadar 2,2023,Not Rated,11 Aug 2023,170 min,"Action, Adventure, Drama",Anil Sharma,Shaktimaan Talwar,"Sunny Deol, Ameesha Patel, Utkarsh Sharma","When Tara Singh goes missing during a skirmish and is believed to be captured in Pakistan, his son Jeetey sets out to rescue him and enters a labyrinth from which they both must escape at all costs.","Hindi, Punjabi, Kannada, Tamil, Telugu, Malayalam",India,9 wins & 17 nominations,https://m.media-amazon.com/images/M/MV5BNzcwNTEwYzgtZmUxYy00MTRlLThlNTUtMjQ0MTdlZWQyZTNjXkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,"22,194",tt15441054,movie,N/A,N/A,N/A,N/A,True
Por Thozhil,2023,N/A,09 Jun 2023,147 min,"Action, Crime, Thriller","Vignesh Raja, T. Senthil Paramasivam","Alfred Prakash, Vignesh Raja","R. Sarathkumar, Lisha Chinnu, Ashok Selvan",A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the loose.,"Tamil, Hindi, Kannada, Telugu, Malayalam",India,N/A,https://m.media-amazon.com/images/M/MV5BY2U5ZjQ2MGMtNDI5ZS00NzJjLTg5YTAtMTVhYWQ4MGE4NmQxXkEyXkFqcGdeQXVyMTY1MzAyNjU4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"9,831",tt27542289,movie,N/A,N/A,N/A,N/A,True
Life of Pi,2012,PG,21 Nov 2012,127 min,"Adventure, Drama, Fantasy",Ang Lee,"Yann Martel, David Magee","Suraj Sharma, Irrfan Khan, Adil Hussain","In Canada, a writer visits the Indian storyteller Pi Patel and asks him to tell his life story. Pi tells the story of his childhood in Pondicherry, India, and the origin of his nickname. One day, his father, a zoo owner, explains that the municipality is no longer supporting the zoo and he has hence decided to move to Canada, where the animals the family owns would also be sold. They board on a Japanese cargo ship with the animals and out of the blue, there is a storm, followed by a shipwrecking. Pi survives in a lifeboat with a zebra, an orangutan, a hyena and a male Bengal tiger nicknamed Richard Parker. They are adrift in the Pacific Ocean, with aggressive hyena and Richard Parker getting hungry. Pi needs to find a way to survive.","English, Hindi, Japanese, French","United States, Taiwan, United Kingdom, Canada, India, France",Won 4 Oscars. 81 wins & 134 nominations total,https://m.media-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",79,7.9,"664,239",tt0454876,movie,31 Jul 2014,"$124,987,023",N/A,N/A,True
Asoka,2001,R,26 Oct 2001,180 min,"Action, Biography, Drama",Santosh Sivan,"Saket Chaudhary, Santosh Sivan, Abbas Tyrewala","Shah Rukh Khan, Kareena Kapoor, Danny Denzongpa",The epic tale of King Asoka's life is recounted.,Hindi,India,3 wins & 22 nominations,https://m.media-amazon.com/images/M/MV5BNjk3OTZmYWUtMDYwMy00Y2ZmLWEzMDYtOTg3YjQzNDNkM2E1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,6.4,"15,112",tt0249371,movie,17 Mar 2017,"$731,277",N/A,N/A,True
The Darjeeling Limited,2007,R,26 Oct 2007,91 min,"Adventure, Comedy, Drama",Wes Anderson,"Wes Anderson, Roman Coppola, Jason Schwartzman","Owen Wilson, Adrien Brody, Jason Schwartzman","A year after the accidental death of their father, three brothers -- each suffering from depression - meet for a train trip across India. Francis, the eldest, has organized it. The brothers argue, sulk, resent each other, and fight. The youngest, Jack, estranged from his girlfriend, is attracted to one of the train's attendants. Peter has left his pregnant wife at home, and he buys a venomous snake. After a few days, Francis discloses their surprising and disconcerting destination. Amid foreign surroundings, can the brothers sort out their differences? A funeral, a meditation, a hilltop ritual, and the Bengal Lancer figure in the reconciliation.","English, Hindi, German, Punjabi, Tibetan, French","United States, India",4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BMTM0MTQ4MTgwOF5BMl5BanBnXkFtZTcwMDA3MDU1MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"216,439",tt0838221,movie,01 May 2013,"$11,902,715",N/A,N/A,True
Dangal,2016,Not Rated,21 Dec 2016,161 min,"Action, Biography, Drama",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh","Biopic of Mahavir Singh Phogat, who taught wrestling to his daughters Babita Kumari and Geeta Phogat. Geeta Phogat was India's first female wrestler to win at the 2010 Commonwealth Games, where she won the gold medal (55 kg) while her sister Babita Kumari won the silver (51 kg).","Hindi, English","India, United States",41 wins & 37 nominations,https://m.media-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,8.3,"209,276",tt5074352,movie,22 Jun 2017,"$12,391,761",N/A,N/A,True
Tumbbad,2018,Not Rated,12 Oct 2018,104 min,"Drama, Fantasy, Horror","Rahi Anil Barve, Anand Gandhi, Adesh Prasad","Mitesh Shah, Adesh Prasad, Rahi Anil Barve","Sohum Shah, Jyoti Malshe, Anita Date-Kelkar","Set in Tumbbad in the 1920s, the story revolves around the three generations of a family facing the consequences when they build a temple for the first-born of a goddess, named Hastar--he who must not be worshiped. Hastar is a terrible entity who can curse a person yet also can grant gold coins. And the story put emphasis on human nature and the never ending greed. The myth of Hastar is, when the Goddess of Prosperity created the world she gave birth to Hastar followed by 16 Crore Gods and Goddesses. Hastar being her first born was her favorite child, but Hastar was very greedy. When the Goddess of Prosperity offered Hastar the ownership of all the gold in the universe or all the food, he took the gold as well as tried to take over the food in his greed fighting with his brothers and sisters. The 16 crore gods and goddesses overpowered Hastar and when they tried to kill him, the Goddess of Prosperity intervened and begged for his life. The 16 crore gods and goddesses accepted her request on one condition, that Hastar will never be mentioned in the Puranas nor he should be ever worshiped.",Hindi,"India, Sweden",17 wins & 26 nominations,https://m.media-amazon.com/images/M/MV5BYmQxNmU4ZjgtYzE5Mi00ZDlhLTlhOTctMzJkNjk2ZGUyZGEwXkEyXkFqcGdeQXVyMzgxMDA0Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",N/A,8.2,"57,830",tt8239946,movie,16 Jan 2019,N/A,N/A,N/A,True
Dunki,2023,N/A,21 Dec 2023,160 min,"Comedy, Drama",Rajkumar Hirani,"Abhijat Joshi, Rajkumar Hirani, Kanika Dhillon","Taapsee Pannu, Ryan Cretney, Priya Sindher","When his friends in Punjab struggle to clear the immigration process, an ex-soldier guides them on a risky journey to enter the UK without permission.",Hindi,India,2 wins & 18 nominations,https://m.media-amazon.com/images/M/MV5BMzQ0NDRhNmItYzllYS00NDdlLTk0YTctZDQ5YmFkYjdkNDcyXkEyXkFqcGdeQXVyNTYwMzA0MTM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}]",N/A,6.8,"69,310",tt15428134,movie,N/A,"$7,460,159",N/A,N/A,True
Sirf Ek Bandaa Kaafi Hai,2023,N/A,23 May 2023,132 min,"Crime, Drama, Thriller",Apoorv Singh Karki,Deepak Kingrani,"Manoj Bajpayee, Adrija Sinha, Surya Mohan Kulshreshtha",A common man with honesty and integrity can take on the system when he has truth on his side.,Hindi,India,7 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BODZiODQyZjgtNTdiZC00OTFhLTkwODktMjFmODJlZjk5MzYzXkEyXkFqcGdeQXVyMTQwMTI5NzM2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"27,926",tt24485052,movie,N/A,N/A,N/A,N/A,True
Gangs of Wasseypur,2012,Not Rated,22 Jun 2012,321 min,"Action, Comedy, Crime",Anurag Kashyap,"Akhilesh Jaiswal, Anurag Kashyap, Sachin K. Ladia","Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia","Shahid Khan is exiled after impersonating the legendary Sultana Daku in order to rob British trains. Now outcast, Shahid becomes a worker at Ramadhir Singh's colliery, only to spur a revenge battle that passes on to generations. At the turn of the decade, Shahid's son, the philandering Sardar Khan vows to get his father's honor back, becoming the most feared man of Wasseypur.",Hindi,"India, France",18 wins & 65 nominations,https://m.media-amazon.com/images/M/MV5BMTc5NjY4MjUwNF5BMl5BanBnXkFtZTgwODM3NzM5MzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",89,8.2,"103,781",tt1954470,movie,26 Mar 2017,N/A,N/A,N/A,True
Khufiya,2023,TV-MA,05 Oct 2023,157 min,"Action, Biography, Crime",Vishal Bhardwaj,"Vishal Bhardwaj, Amar Bhushan, Rohan Narula","Tabu, Ali Fazal, Wamiqa Gabbi","Krishna Mehra is an operative at Indian spy agency known as R&amp;AW. She is assigned to track down the mole selling India's defense secrets, while all along grappling with her dual identity as a spy and a lover.",Hindi,India,3 nominations,https://m.media-amazon.com/images/M/MV5BNWYzMWFhYmQtNmI0Ni00OWJkLWFiMjktM2JlZmEzZjgzNjE1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"6,891",tt15433600,movie,N/A,N/A,N/A,N/A,True
Animal,2023,Not Rated,01 Dec 2023,204 min,"Action, Crime, Drama",Sandeep Reddy Vanga,"Suresh Bandaru, Saurabh Gupta, Pranay Reddy Vanga","Ranbir Kapoor, Anil Kapoor, Bobby Deol",The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,Hindi,India,23 wins & 40 nominations,https://m.media-amazon.com/images/M/MV5BNGViM2M4NmUtMmNkNy00MTQ5LTk5MDYtNmNhODAzODkwOTJlXkEyXkFqcGdeQXVyMTY1NDY4NTIw._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",N/A,6.2,"87,147",tt13751694,movie,N/A,"$15,004,482",N/A,N/A,True
Miss Shetty Mr Polishetty,2023,Not Rated,07 Sep 2023,149 min,"Comedy, Drama, Romance",Mahesh Babu P.,Mahesh Babu P.,"Anushka Shetty, Naveen Polishetty, Jayasudha","Miss Shetty is a feminist living in London and wants to be single forever. Mr. Polishetty from Hyderabad in Telangana, India, wants to be in a committed relationship. The two appear to be in different stages of life but somehow co...",Telugu,India,N/A,https://m.media-amazon.com/images/M/MV5BNWE5NGZkOWYtODlkZS00Mzk5LWIzZjgtMjk4NzAxNzFmODA3XkEyXkFqcGdeQXVyMTQ3Mzk2MDg4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"4,091",tt15891388,movie,N/A,N/A,N/A,N/A,True
Bawaal,2023,N/A,21 Jul 2023,137 min,"Action, Drama, Romance",Nitesh Tiwari,"Piyush Gupta, Shreyas Jain, Nikhil Mehrotra","Varun Dhawan, Janhvi Kapoor, Manoj Pahwa",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.,"Hindi, English",India,9 wins & 16 nominations,https://m.media-amazon.com/images/M/MV5BZWY2NDMwYjYtMjVjMC00YjJiLThmMDEtZmFjNzVmZWMxODkxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"15,864",tt19755170,movie,N/A,N/A,N/A,N/A,True
Brahmastra Part One: Shiva,2022,Not Rated,09 Sep 2022,167 min,"Action, Adventure, Fantasy",Ayan Mukerji,"Hussain Dalal, Ayan Mukerji","Amitabh Bachchan, Ranbir Kapoor, Alia Bhatt","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.","Hindi, English",India,32 wins & 41 nominations,https://m.media-amazon.com/images/M/MV5BNDlhMjZlY2YtZTA1MC00MzQwLTg2ZGUtNWVjNzczOGMwOWZjXkEyXkFqcGdeQXVyMTYyNjAzOTUx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '49%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.6,"111,611",tt6277462,movie,07 Dec 2022,"$7,839,108",N/A,N/A,True
